단어,카테고리,등급,뜻풀이
폐장,경제,3,"극장, 시장, 해수욕장 등의 영업이 끝남. 또는 영업을 끝냄."
포기,일상,2,하려던 일이나 생각을 중간에 그만둠.
포도,일상,1,달면서도 약간 신맛이 나는 작은 열매가 뭉쳐서 송이를 이루는 보라색 과일.
포복절도,고사성어,3,배를 잡고 뒤집어질 정도로 아주 크게 웃는다.
포상금,경제,3,잘한 일을 칭찬하고 앞으로 더 잘하기를 바라며 상으로 주는 돈.
포유류,과학,2,젖을 먹여 새끼를 키우는 척추동물
포장,일상,1,물건을 싸거나 꾸림. 또는 싸거나 꾸리는 데 사용하는 재료.
포크,일상,2,음식을 찍어 먹거나 얹어 먹는 데 쓰는 도구.
포탈,경제,3,내야 하는 세금을 피하여 내지 않음.
폭등,경제,3,물건의 값이나 주가 등이 갑자기 크게 오름.
폭락,경제,3,물건의 값이나 주가 등이 갑자기 크게 떨어짐.
폭리,경제,3,옳지 않은 방법을 사용하여 지나치게 많이 남기는 이익.
폭발,일상,2,속에 쌓여 있던 감정 등이 한꺼번에 거세게 쏟아져 나옴.
폭풍전야,고사성어,3,폭풍이 불기 직전처럼 팽팽한 긴장감이 흐른다.
폰뱅킹,경제,2,전화를 걸어서 입출금 등 은행 업무를 보는 일. 또는 그런 서비스.
표리부동,고사성어,4,겉과 속이 달라서 믿을 수 없는 태도
풀타임,일상,2,정해진 하루 근무 시간 내내 일하는 방식. 또는 그런 일.
풍경,일상,1,자연이나 지역의 아름다운 모습.
풍속계,과학,2,바람의 세기를 재는 기계.
풍전등화,고사성어,3,바람 앞의 등불처럼 매우 위태로운 처지
풍차,과학,2,바람의 힘으로 날개를 회전시켜 생기는 힘을 이용하는 장치.
풍향계,과학,2,바람이 부는 방향을 관찰하여 측정하는 기구.
퓨즈,과학,3,"전선이나 전기 기구에 정해진 것보다 센 전류가 흐르면 녹아서 끊어지며 전기를 차단하도록, 납과 주석의 합금이나 아연 등으로 만든 부품."
프라이팬,일상,1,"음식을 기름에 지지거나 튀기는 데 쓰는, 손잡이가 달리고 높이가 낮으며 넓적한 냄비."
프로그램,일상,1,어떤 행사의 진행 계획이나 순서를 적은 목록. 또는 그 행사의 세부 항목.
프로판,과학,3,"가정용이나 자동차 등의 연료가 되고, 상온에서 압력을 가하면 쉽게 액체로 변하는 무색의 기체."
프리미엄,경제,3,"정해진 가격, 급료 등에 얼마를 더하여 주는 금액."
프리즘,과학,3,"빛을 굴절시키거나 분산시킬 때 쓰는, 유리 또는 수정 등으로 만든 세모 기둥 모양의 기구."
플라즈마,과학,3,기체가 초고온에서 이온화된 상태
플랑크상수,과학,4,양자역학에서 에너지와 진동수의 관계를 결정하는 상수
플래시,과학,2,가지고 다닐 수 있는 작은 전등.
피곤,일상,1,몸이나 마음이 지쳐서 힘듦.
피뢰침,과학,2,낙뢰로부터 건물을 보호하기 위해 세운 도체
피보험자,경제,3,"보험에서, 보험의 대상이 되거나 계약에 따라 손해의 보상을 받을 수 있는 사람."
피스톤,과학,3,"속이 빈 원통 모양의 장치 안에서 왕복 운동을 하는, 원통이나 원판 모양으로 된 부품."
피시방,일상,1,여러 대의 컴퓨터를 갖추어 놓고 손님들이 돈을 내고 이용하도록 하는 곳.
피아노,일상,1,검은색과 흰색 건반을 손가락으로 두드리거나 눌러서 소리를 내는 큰 악기.
피차일반,고사성어,3,너나 나나 서로 다를 바 없이 똑같음
피폭,과학,3,사람의 몸이 방사능에 노출됨.
피해액,경제,3,피해를 입은 액수.
핀테크,경제,3,금융과 기술의 결합
필기,일상,2,글씨를 씀.
필립스곡선,경제,4,물가와 실업률의 역관계를 보여주는 곡선
필터,과학,3,액체나 기체 속에 든 이물질을 걸러 내는 장치.
필통,일상,1,"붓, 연필 등의 필기구를 꽂아 놓는 통."
하늘,일상,1,땅 위로 펼쳐진 무한히 넓은 공간.
하도급,경제,3,어떤 사람이 일정한 금액을 받고 떠맡은 일의 전부나 일부를 다시 다른 사람에게 돈을 주고 맡김. 또는 맡긴 일.
하루,일상,1,밤 열두 시부터 다음 날 밤 열두 시까지의 스물네 시간.
하수구,일상,2,"빗물이나 집, 공장 등에서 쓰고 버리는 더러운 물이 흘러내려 가도록 만든 도랑."
하숙,일상,2,방세와 밥값을 내고 남의 집에 머물면서 먹고 잠. 또는 그런 집.
하숙집,일상,1,일정한 돈을 내고 머물면서 먹고 자는 집.
하얀색,일상,1,눈이나 우유와 같은 색.
하우스푸어,경제,3,집은 있지만 빚 때문에 가난한 사람
하이킹,일상,1,마음과 몸을 굳세게 하거나 관광을 하기 위해 걸어서 여행하는 일.
하이퍼인플레이션,경제,4,물가가 극도로 빠르게 오르는 현상
하청,경제,3,어떤 사람이 일정한 계약에 따라 맡은 일의 전부나 일부를 다시 다른 사람이 맡는 것.
하품,일상,2,"졸리거나 피곤하거나 배부르거나 할 때, 저절로 입이 크게 벌어지면서 하는 깊은 호흡."
하한가,경제,3,"주식 시장에서, 개별 주식이 하루에 내릴 수 있는 최저 가격."
학교,일상,1,"일정한 목적, 교과 과정, 제도 등에 따라 학생을 교육하는 기관."
학기,일상,1,한 학년 동안을 학업의 필요에 따라 구분한 기간.
학비,경제,2,학교에 다니고 공부를 하는 데에 드는 비용.
학수고대,고사성어,3,학의 목처럼 길게 빼고 간절히 기다린다.
학원,일상,1,"일정한 목적, 교과 과정, 제도 등에 따라 학생을 교육하는 기관."
한도액,경제,3,그 이상을 넘지 않도록 정해진 액수.
한턱,일상,1,남에게 크게 음식이나 술을 대접하는 일.
할머니,일상,1,"아버지의 어머니, 또는 어머니의 어머니. 또는 그 사람을 부르는 말."
할부,경제,2,돈을 여러 번에 나누어 냄.
할부금,경제,3,여러 번에 나누어 내는 돈.
할아버지,일상,1,"아버지의 아버지, 또는 어머니의 아버지. 또는 그 사람을 부르는 말."
할인,경제,1,정해진 가격에서 얼마를 뺌.
할인권,경제,2,정해진 가격보다 일정 가격 싸게 살 수 있도록 만든 표.
할인점,경제,2,정해진 가격에서 얼마를 뺀 상품만 전문적으로 파는 가게.
할증,경제,2,정해진 가격에 얼마를 더함.
할증료,경제,3,정해진 가격에 더하여 내는 돈.
함흥차사,고사성어,3,한번 가면 소식이 없어 도무지 돌아오지 않음
합병,경제,3,"둘 이상의 기구나 단체, 나라 등이 하나로 합쳐짐. 또는 그렇게 만듦."
합선,과학,3,전류가 흐르는 두 선이 사고로 직접 맞붙는 일.
핫머니,경제,4,단기 이익을 노리고 이동하는 자금
항공,일상,1,비행기로 공중을 날아다님.
항공권,일상,1,비행기에 탈 수 있는 표.
해녀,일상,2,"바닷속에 들어가 해삼, 전복, 미역 등을 따는 일을 직업으로 하는 여자."
해돋이,일상,2,해가 막 솟아오르는 때. 또는 그런 현상.
해시계,과학,3,해가 떠 있는 동안 물체의 그림자 길이와 위치의 변화를 이용하여 시간을 재는 시계.
해약,경제,3,약속이나 계약 등이 깨짐. 또는 약속이나 계약 등을 깨뜨림.
해외여행,일상,1,외국으로 여행을 가는 일. 또는 그런 여행.
해커,일상,2,컴퓨터 시스템을 다루는 데 뛰어난 실력을 갖추어 다른 사람의 컴퓨터 시스템에 침입하여 저장된 정보나 프로그램을 없애거나 망치는 사람. 또는 이를 막는 사람.
핵분열,과학,3,무거운 원자핵이 쪼개지며 에너지를 내는 반응
핵연료,과학,3,우라늄과 같이 원자로에서 핵반응을 일으켜 에너지를 얻는 물질.
핵융합,과학,3,가벼운 원자핵들이 합쳐져 무거운 원자핵이 되는 반응
핵폐기물,과학,3,"핵반응이나 핵붕괴로 원자력을 얻은 뒤에 버리는, 방사능이 남아 있는 찌꺼기 물질."
핸드폰,일상,1,들고 다니면서 사용할 수 있는 작은 무선 전화기.
핸들,과학,2,손으로 어떤 것을 열거나 들거나 붙잡을 수 있도록 덧붙여 놓은 부분.
행동,일상,1,몸을 움직여 어떤 일이나 동작을 함.
행복,일상,1,복되고 좋은 운수.
행사,일상,1,목적이나 계획을 가지고 절차에 따라서 어떤 일을 시행함. 또는 그 일.
향기,일상,2,좋은 냄새.
향수병,일상,2,(비유적으로) 고향을 그리워하는 마음.
허리,일상,1,사람이나 동물의 신체에서 갈비뼈 아래에서 엉덩이뼈까지의 부분.
허무맹랑,고사성어,3,말이 터무니없고 도무지 믿을 수 없는 헛소리
허블우주망원경,과학,3,우주 관측을 위해 지구 궤도에 띄운 망원경
허심탄회,고사성어,3,마음을 비우고 터놓고 솔직하게 이야기한다.
허장성세,고사성어,3,실속 없이 겉으로만 기세를 부리며 으름장을 놓는다.
허허실실,고사성어,4,실속은 비우고 겉은 가득 찬 것처럼 하여 상대를 속인다.
헤드폰,일상,2,"밴드로 머리에 걸 수 있게 만든, 라디오 방송이나 음악 등을 듣는 데 쓰는 소형 스피커."
헤드헌터,경제,3,고급 인재를 연결해 주는 전문가
헤르츠,과학,3,1초 동안 진동한 횟수를 재는 진동수의 국제단위.
헤지펀드,경제,3,수익을 위해 공격적으로 투자하는 펀드
헤징,경제,3,위험을 회피하기 위한 전략
헬륨,과학,3,"빛깔, 냄새, 맛이 없고 수소 다음으로 가벼우며 공기에 적은 양이 들어 있는 기체 원소."
헬스장,일상,1,건강을 유지하거나 몸매를 가꿀 수 있도록 여러 가지 운동 기구나 시설을 갖춘 장소.
현관문,일상,2,"건물로 들어가는 입구에 달린, 드나드는 문."
현금,경제,1,"어음, 수표, 채권 등이 아닌 정부나 금융과 통화 정책의 주체가 되는 은행에서 만들어 내놓는 화폐."
현금흐름표,경제,3,현금의 유입과 유출을 기록한 표
현물,경제,3,현재 있는 물건.
현미,일상,2,"벼의 겉껍질만 벗겨 낸, 누르스름한 쌀."
현미경,과학,2,눈으로는 볼 수 없을 만큼 작은 물체나 물질을 크게 볼 수 있게 만든 기구.
현재,일상,1,지금 이때.
현찰,경제,3,현금으로 두루 쓰이는 화폐.
혈소판,과학,3,혈액 응고를 담당하는 혈액 성분
협동조합,경제,3,"소비자나 농민, 어민, 중소기업자 등이 각자의 생활이나 사업을 좋게 만들기 위해 만든 협력 조직."
협정,경제,3,서로 의논하여 결정함.
형설지공,고사성어,4,반딧불과 눈빛으로 공부한 노력의 결실
형제,일상,1,형과 남동생.
혜성,과학,2,태양 주위를 긴 타원 궤도로 도는 얼음과 먼지 덩어리
호가,경제,3,물건의 가격이 정해져 있지 않은 경우에 팔거나 사려는 값을 부름.
호객,경제,3,물건 등을 팔기 위해 손님을 부름.
호경기,경제,3,경제 활동이 보통 이상으로 활발하게 이루어지는 상태.
호구지계,고사성어,3,겨우 입에 풀칠하며 살아갈 방도를 찾는다.
호구지책,고사성어,3,살아가기 위해 먹고 살 방편을 마련한다.
호랑이,일상,1,"누런 갈색의 몸에 검은 줄무늬가 있고, 다른 동물을 잡아먹고 사는 몸집이 큰 동물."
호부호형,고사성어,3,아버지를 아버지라 부르지 못하고 형을 형이라 부르지 못한다.
호사다마,고사성어,3,좋은 일에는 탈이 많아 방해가 자주 생긴다.
호수,일상,1,땅으로 둘러싸인 큰 못.
호시탐탐,고사성어,3,범처럼 기회를 노리며 틈을 엿보는 모습
호언장담,고사성어,3,호기롭고 자신 있게 큰소리로 장담하여 말함
호의호식,고사성어,3,비단 옷을 입고 맛있는 음식을 먹으며 잘 산다.
호조,경제,3,상황이나 조건이 좋은 상태.
호주머니,일상,2,옷에 천 등을 덧대어 돈이나 물건 등을 넣을 수 있도록 만든 부분.
호텔,일상,1,시설이 잘 되어 있고 규모가 큰 고급 숙박업소.
호황,경제,3,매매나 거래에 나타나는 경제 활동 상태가 좋음. 또는 그런 상황.
혹세무민,고사성어,3,세상을 어지럽히고 백성을 속여 현혹한다.
혼비백산,고사성어,3,혼이 날아가고 넋이 흩어질 정도로 아주 놀랐다.
혼연일체,고사성어,4,마음과 몸이 하나로 합쳐져 완전히 일치한다.
혼용무도,고사성어,4,세상이 어지러워 도리가 하나도 통하지 않는다.
혼자,일상,1,다른 사람 없이 한 사람.
혼합물,과학,2,두 종류 이상의 물질이 화학적 결합 없이 섞인 상태
홀로그래피,과학,3,레이저를 이용해 3차원 영상을 기록하는 기술
홀수,일상,2,2로 나누어서 나머지 1이 남는 수.
홈뱅킹,경제,3,집에서 컴퓨터로 은행 업무를 보는 일. 또는 그런 서비스.
홍차,일상,1,"차나무의 잎을 발효시켜 말린 것으로, 끓는 물에 넣으면 맑은 붉은색을 띠고 향기가 나는 차."
화가,일상,1,그림을 전문적으로 그리는 사람.
화룡점정,고사성어,4,용을 그린 뒤 눈을 찍듯 마무리하여 완벽하게 한다.
화무십일,고사성어,4,열흘 동안 피어 있는 꽃은 없다는 뜻으로 덧없음
화무십홍,고사성어,4,붉은 꽃은 열흘을 넘기기 힘들다
화약,과학,3,"열, 전기, 충격 등의 자극을 가하면 순간적으로 폭발하는 고체 또는 액체 상태의 물질."
화장실,일상,1,대변이나 소변을 볼 수 있는 시설이 있는 장소.
화장품,일상,1,"예쁘게 보이기 위해, 또는 피부를 가꾸기 위해 얼굴에 바르는 물건."
화중지병,고사성어,4,그림 속의 떡이라 보기는 해도 먹을 수 없다.
화폐,경제,2,"상품을 사고팔거나 다른 상품과 교환할 때 상품의 가치를 매기는 기준이 되며, 상품과 교환할 수 있는 수단이 되는 것."
화합,과학,3,"원자, 분자 등의 물질을 이루는 요소 둘 이상이 결합하여 본래의 성질을 잃고 새로운 성질을 가진 물질이 됨."
화합물,과학,3,두 개 이상의 원소가 만나 화학 작용을 통해 새롭게 만들어진 물질.
